month,place,,W΍,2020N,ς̒,W΍Ƃ̔,,95%ԏ
1,F撬,35.0,7.464200272921789,36.0,1.0,0.13397282541141672,-13.92840054584358,49.92840054584358
2,F撬,29.0,2.5634797778466227,34.0,5.0,1.950473744013735,-0.12695955569324724,34.12695955569325
3,F撬,33.0,5.1269595556932455,35.0,2.0,0.390094748802747,-8.253919111386494,43.253919111386494
4,F撬,29.5,4.4077853201547175,32.0,2.5,0.5671782581081439,-6.315570640309431,38.31557064030943
5,F撬,27.5,4.0708019567928595,40.0,12.5,3.070648027753234,4.358396086414281,35.64160391358572
6,F撬,32.25,5.230405611149374,26.0,-6.25,-1.194936007769113,-16.710811222298744,42.710811222298744
7,F撬,29.125,6.512350903146596,40.0,10.875,1.6699038736910639,-2.1497018062931943,42.149701806293194
8,F撬,31.5,7.502380574571933,29.0,-2.5,-0.33322756359139294,-17.504761149143867,46.50476114914387
9,F撬,28.5,8.12403840463596,37.0,8.5,1.0462776733243282,-7.748076809271922,44.74807680927192
10,F撬,30.0,4.0,,,,,38.0
11,F撬,32.875,6.266407036161723,,,,,45.40781407232345
12,F撬,35.875,4.323936698360485,,,,,44.52287339672097
